zipcode,E_TOTPOP.zip,SVI_SES,SVI_household.disability,SVI_minority.language,SVI_house.transport,SVI_overall,Town,eohhs,eohhs_name,town_population
01720,23561,0.12607128729680406,0.258311765205212,0.6386765247655023,0.38739395186961506,0.28623106829081957,Acton,4,Metro West,23662
01721,17576,0.1320693218024579,0.2484170573509331,0.5796625682749202,0.16186412152935822,0.17364379267182523,Ashland,4,Metro West,17807
01730,23463,0.19682227336657718,0.5096048075693645,0.5148435366321442,0.5243803904019094,0.4154849209393513,Bedford,4,Metro West,14123
01731,9517,0.22994178837869073,0.5645880004203006,0.4523756330776505,0.3066657875380897,0.3371892928443837,Bedford,4,Metro West,14123
01740,5236,0.0178,0.1614,0.1866,0.0645,0.011,Bolton,2,Central,5426
01741,5186,0.1213,0.1984,0.3602,0.024,0.0288,Carlisle,4,Metro West,5252
01742,26121,0.19098926534206195,0.45606246315225296,0.5383177787986677,0.5720443244898741,0.4159401707438459,Concord,4,Metro West,18918
01745,4558,0.2015,0.394,0.2392,0.3361,0.22649999999999998,Southborough,4,Metro West,10208
01746,14634,0.06459356976903104,0.2937157304906382,0.2186416222495558,0.12575677190105233,0.06383307366406997,Holliston,4,Metro West,14912
01747,5951,0.40230000000000005,0.6594,0.0478,0.5062,0.3988,Hopedale,2,Central,5951
01748,17178,0.10094472581208523,0.17215064617534057,0.34697249970893,0.2318972522994528,0.11212832110839446,Hopkinton,4,Metro West,18470
01749,19868,0.4282959482585062,0.4909631769679887,0.4751079021542179,0.4139430843567546,0.4249634336621704,Hudson,4,Metro West,19864
01752,39776,0.4580962691069992,0.40556471741753825,0.664725175985519,0.6986110418342719,0.616249253318584,Marlborough,4,Metro West,39597
01754,10600,0.15172932075471698,0.258272,0.19450028301886796,0.29026271698113204,0.13872273584905662,Maynard,4,Metro West,11336
01756,13913,0.26886623301947815,0.14469352404226263,0.11881712786602458,0.30077957306116576,0.1297789333716668,Mendon,2,Central,6223
01757,36624,0.4870909594801223,0.45478628768020973,0.48759047346002626,0.4493308295107034,0.4845874863477501,Milford,2,Central,29101
01760,36083,0.10488363495274783,0.3768343624421473,0.44674082254801434,0.3835554499348724,0.23491062273092594,Natick,4,Metro West,36050
