Town,zipcode,eohhs,eohhs_name,town_population
Barnstable,2632,5,Southeast,44477
Lawrence,1841,3,Northeast,80028
Swampscott,1907,3,Northeast,15298
Dennis,2639,5,Southeast,13871
Hull,2045,4,Metro West,10475
Weymouth,2191,4,Metro West,57746
Falmouth,2543,5,Southeast,30993
Brimfield,1010,2,Central,3680
Waltham,2452,4,Metro West,62495
Worcester,1609,2,Central,185428
Wendell,1380,1,Western,878
Waltham,2453,4,Metro West,62495
Springfield,1118,1,Western,153606
Springfield,1129,1,Western,153606
Leicester,1611,2,Central,11341
Springfield,1119,1,Western,153606
Everett,2149,3,Northeast,46451
Lowell,1851,3,Northeast,110997
Lawrence,1843,3,Northeast,80028
Sheffield,1222,1,Western,3129
Arlington,2474,4,Metro West,45531
Grafton,1560,2,Central,18883
Warren,1092,2,Central,5222
Cambridge,2138,4,Metro West,118927
Needham,2494,4,Metro West,31388
Newton,2467,4,Metro West,88414
Becket,1223,1,Western,1716
Harwich,2646,5,Southeast,12142
Bourne,2561,5,Southeast,19762
Worcester,1607,2,Central,185428
Springfield,1151,1,Western,153606
Quincy,2171,4,Metro West,94470
Brookline,2445,6,Boston,59121
Lynn,1902,3,Northeast,94299
Bourne,2562,5,Southeast,19762
Somerset,2725,5,Southeast,18129
Walpole,2032,4,Metro West,25200
Dennis,2670,5,Southeast,13871
Chatham,2659,5,Southeast,5982
Chelsea,2150,6,Boston,39690
Buckland,1338,1,Western,1850
Worcester,1610,2,Central,185428
Arlington,2476,4,Metro West,45531
Newton,2465,4,Metro West,88414
Bourne,2534,5,Southeast,19762
Amherst,1002,1,Western,39924
Fall River,2724,5,Southeast,89541
Newton,2466,4,Metro West,88414
Chatham,2650,5,Southeast,5982
Newton,2460,4,Metro West,88414
New Bedford,2744,5,Southeast,95363
Otis,1029,1,Western,1539
Barre,1074,2,Central,5578
New Salem,1355,1,Western,1021
Lakeville,2347,5,Southeast,11561
Palmer,1069,1,Western,12232
Hardwick,1031,2,Central,3057
Newton,2461,4,Metro West,88414
Somerville,2145,4,Metro West,81360
Lowell,1850,3,Northeast,110997
Berlin,1503,2,Central,3240
Dedham,2026,4,Metro West,25219
Bourne,2532,5,Southeast,19762
Brookline,2446,6,Boston,59121
North Attleborough,2763,5,Southeast,29364
Springfield,1105,1,Western,153606
Bedford,1731,4,Metro West,14123
Amherst,1003,1,Western,39924
Somerville,2144,4,Metro West,81360
Cambridge,2140,4,Metro West,118927
Springfield,1128,1,Western,153606
Nahant,1908,3,Northeast,3513
Westport,2791,5,Southeast,16034
Dennis,2641,5,Southeast,13871
Walpole,2071,4,Metro West,25200
Plainfield,1070,1,Western,661
Beverly,1965,3,Northeast,42174
Barnstable,2647,5,Southeast,44477
Barnstable,2637,5,Southeast,44477
Cambridge,2141,4,Metro West,118927
Harvard,1434,2,Central,6620
Newton,2462,4,Metro West,88414
Newton,2467,4,Metro West,88414
Westminster,1441,2,Central,7997
Lee,1260,1,Western,5664
Lawrence,1840,3,Northeast,80028
Newton,2464,4,Metro West,88414
Wareham,2558,5,Southeast,22745
Worcester,1608,2,Central,185428
Springfield,1103,1,Western,153606
Cambridge,2142,4,Metro West,118927
Lynn,1901,3,Northeast,94299
Wellfleet,2663,5,Southeast,2724
Hatfield,1066,1,Western,3251
Hardwick,1094,2,Central,3057
Marshfield,2020,5,Southeast,25967
Lanesborough,1224,1,Western,2940
Southborough,1745,4,Metro West,10208
Hanson,2350,5,Southeast,10914
Bourne,2553,5,Southeast,19762
Easton,2357,5,Southeast,25105
Oak Bluffs,2557,5,Southeast,4667
Acton,1718,4,Metro West,23662
Ware,1082,1,Western,9711
Harwich,2661,5,Southeast,12142
Lenox,1242,1,Western,4944
Templeton,1438,2,Central,8138
Barnstable,2672,5,Southeast,44477
Palmer,1009,1,Western,12232
Northampton,1063,1,Western,28451
Lancaster,1561,2,Central,8082
Revere,2151,6,Boston,53073
Scituate,2047,4,Metro West,18924
New Bedford,2746,5,Southeast,95363
Harwich,2671,5,Southeast,12142
Newton,2467,4,Metro West,88414
Cambridge,2139,4,Metro West,118927
Whately,1093,1,Western,1567
Quincy,2170,4,Metro West,94470
Monroe,1350,1,Western,115
Newton,2458,4,Metro West,88414
Palmer,1080,1,Western,12232
Newton,2468,4,Metro West,88414
Springfield,1107,1,Western,153606
Somerville,2143,4,Metro West,81360
Fall River,2723,5,Southeast,89541
Winthrop,2152,6,Boston,18544
Allston Brighton,2163,6,Boston,66585
Allston Brighton,2135,6,Boston,66585
Allston Brighton,2134,6,Boston,66585
Charlestown,2129,6,Boston,19414
Back Bay Downtown,2108,6,Boston,55698
Back Bay Downtown,2114,6,Boston,55698
Back Bay Downtown,2116,6,Boston,55698
Back Bay Downtown,2199,6,Boston,55698
Back Bay Downtown,2109,6,Boston,55698
Back Bay Downtown,2110,6,Boston,55698
Back Bay Downtown,2103,6,Boston,55698
Back Bay Downtown,2113,6,Boston,55698
East Boston,2128,6,Boston,46927
Dorchester Uphams,2121,6,Boston,64277
Dorchester Uphams,2125,6,Boston,64277
Dorchester Codman,2122,6,Boston,80880
Dorchester Codman,2124,6,Boston,80880
Fenway,2115,6,Boston,54727
Fenway,2215,6,Boston,54727
Hyde Park,2136,6,Boston,34223
Jamaica Plain,2130,6,Boston,40377
Mattapan,2126,6,Boston,29591
Roslindale,2131,6,Boston,33771
Roxbury,2119,6,Boston,43127
Roxbury,2120,6,Boston,43127
South Boston,2127,6,Boston,40094
South Boston,2210,6,Boston,40094
South End,2111,6,Boston,35756
South End,2118,6,Boston,35756
West Roxbury,2132,6,Boston,28487
Alford,1266,1,Western,488
Aquinnah,2535,5,Southeast,320
Clarksburg,1247,1,Western,1638
Egremont,1230,1,Western,1205
Hawley,1339,1,Western,334
Leyden,1337,1,Western,715
Middlefield,1243,1,Western,534
Montgomery,1050,1,Western,866
New Ashford,1237,1,Western,223
Pelham,1002,1,Western,1313
Peru,1235,1,Western,834
Phillipston,1331,1,Western,1746
Tisbury,2568,5,Southeast,4096
Tolland,1034,1,Western,508
Washington,1223,1,Western,541
West Tisbury,2575,5,Southeast,2904
Westhampton,1027,1,Western,1637
