zipcode,SVI_SES,SVI_SES_quartile
01344,0.47,2
01346,0.4529,2
01347,0.2882,2
01349,0.3680595613697576,2
01350,0.4529,2
01351,0.2882,2
01354,0.2146,1
01355,0.2091,1
01360,0.2455,1
01364,0.43465210020719536,2
01366,0.4636496572525363,2
01367,0.4529,2
01368,0.6080105017667844,3
01370,0.313719623046642,2
01373,0.22042073387255867,1
01375,0.21399999999999997,1
01376,0.40757343412527,2
01378,0.47,2
01379,0.47,2
01420,0.6459994880584059,3
01430,0.3322176765985939,2
01431,0.2829,2
01432,0.1533,1
01434,0.25680576429824953,2
01436,0.32229763020364033,2
01438,0.3023,2
01440,0.43674802633462145,2
01450,0.09846183523581985,1
01451,0.1811,1
01452,0.1759,1
01453,0.4817631332876547,2
01460,0.1158364871665828,1
01462,0.233838186496318,1
01463,0.17686194653645618,1
01464,0.432,2
01467,0.1811,1
01468,0.3023,2
01469,0.18263814912744578,1
01473,0.1811,1
01474,0.18263814912744578,1
01475,0.4557005519317612,2
01501,0.19032370588588948,1
01503,0.0881,1
01504,0.24434105559160718,1
01505,0.067,1
01506,0.3115,2
01507,0.2556998664886515,2
01510,0.2940631196488956,2
01515,0.24889999999999998,1
01516,0.16591668970491014,1
01518,0.10213992869875223,1
01519,0.17674182509505704,1
01520,0.12292067902874448,1
01521,0.3692,2
01522,0.12583281217856407,1
01523,0.3646,2
01524,0.3005967481835903,2
01525,0.11550000000000002,1
01527,0.28718561151079136,2
01529,0.2771,2
01531,0.5232,3
01532,0.05231768435101768,1
01534,0.2783724609611427,2
01535,0.3537,2
01536,0.1770070744197572,1
01537,0.33290000000000003,2
01540,0.34734363166953525,2
01541,0.0451,1
01542,0.31391174479166667,2
01543,0.06130000000000001,1
01545,0.18304818205912823,1
01550,0.7085725760625073,3
01560,0.1448,1
01561,0.3646,2
01562,0.4132888944850163,2
01564,0.105,1
01566,0.10213992869875223,1
01568,0.1584,1
01569,0.2777545048013557,2
01570,0.504210123151258,3
01571,0.40973636363636357,2
01581,0.07515784962037718,1
01583,0.36559500918987703,2
01585,0.24151641624930437,1
01588,0.2212308052861142,1
01590,0.03593766648907831,1
01602,0.5371886182053295,3
01603,0.7472802411308205,3
01604,0.5407605656656083,3
01605,0.7007512006821534,3
01606,0.4940331786333836,2
01607,0.4966345826084393,2
01608,0.9013114251131459,4
01609,0.561329888005863,3
01610,0.8236842463315271,4
01611,0.1582,1
01612,0.06827556390977443,1
01701,0.14836678327583297,1
01702,0.5032310526075232,3
01718,0.1209,1
01719,0.2005,1
01720,0.07901246975934807,1
01721,0.06686428083750569,1
01730,0.1248572731534757,1
01731,0.15584160975097194,1
01740,0.0162,1
01741,0.0983,1
01742,0.11512238046016617,1
01745,0.1341,1
01746,0.042910666940002735,1
01747,0.21739999999999998,1
01748,0.07536511817440912,1
01749,0.241151691161667,1
01752,0.2610264481094127,2
01754,0.06031566037735849,1
01756,0.15897528929777904,1
01757,0.3202068943861949,2
01760,0.062058179752237895,1
01770,0.0053,1
01772,0.07983797895572763,1
01773,0.036689089601869326,1
01775,0.0229,1
01776,0.03049954440026508,1
01778,0.0230878067361668,1
01801,0.17960269329346434,1
01803,0.1474443992756569,1
01810,0.07462289308882587,1
01821,0.20153199516773537,1
01824,0.08194740746291024,1
01826,0.3148725068764793,2
01827,0.0602,1
01830,0.5154783927126719,3
01832,0.5302620170723996,3
01833,0.048671915828419475,1
01834,0.0733,1
01835,0.24180900805104055,1
01840,0.9440469685659783,4
