Day of c_Calendar Date,c_SelectTrend,c_Census Net Difference,c_Census,c_COVID 19+ label %,c_COVID 19+ label,c_dynamictotallabel,t_Census % Difference Label,c_Census Exclude COVID Status
09/09/20,,,,,,38,,38
09/08/20,,,,,,41,,41
09/07/20,,,,,,43,,43
09/06/20,,,,,,41,,41
09/05/20,,,,,,38,,38
09/04/20,,,,,,39,,39
09/03/20,,,,,,34,,34
09/02/20,,,,,,37,,37
09/01/20,,,,,,40,,40
08/31/20,,,,,,36,,36
08/30/20,,,,,,38,,38
08/29/20,,,,,,34,,34
08/28/20,,,,,,33,,33
08/27/20,,,,,,31,,31
08/26/20,,,,,,34,,34
08/25/20,,,,,,38,,38
08/24/20,,,,,,37,,37
08/23/20,,,,,,37,,37
08/22/20,,,,,,36,,36
08/21/20,,,,,,36,,36
08/20/20,,,,,,37,,37
08/19/20,,,,,,40,,40
08/18/20,,,,,,41,,41
08/17/20,,,,,,40,,40
08/16/20,,,,,,41,,41
08/15/20,,,,,,42,,42
08/14/20,,,,,,41,,41
08/13/20,,,,,,44,,44
08/12/20,,,,,,45,,45
08/11/20,,,,,,41,,41
08/10/20,,,,,,43,,43
08/09/20,,,,,,39,,39
08/08/20,,,,,,41,,41
08/07/20,,,,,,43,,43
08/06/20,,,,,,43,,43
08/05/20,,,,,,46,,46
08/04/20,,,,,,47,,47
08/03/20,,,,,,45,,45
08/02/20,,,,,,36,,36
08/01/20,,,,,,37,,37
07/31/20,,,,,,34,,34
07/30/20,,,,,,30,,30
07/29/20,,,,,,31,,31
07/28/20,,,,,,32,,32
07/27/20,,,,,,29,,29
07/26/20,,,,,,32,,32
07/25/20,,,,,,36,,36
07/24/20,,,,,,35,,35
07/23/20,,,,,,33,,33
07/22/20,,,,,,32,,32
07/21/20,,,,,,34,,34
07/20/20,,,,,,39,,39
07/19/20,,,,,,39,,39
07/18/20,,,,,,34,,34
07/17/20,,,,,,36,,36
07/16/20,,,,,,32,,32
07/15/20,,,,,,35,,35
07/14/20,,,,,,36,,36
07/13/20,,,,,,42,,42
07/12/20,,,,,,41,,41
07/11/20,,,,,,44,,44
07/10/20,,,,,,44,,44
07/09/20,,,,,,47,,47
07/08/20,,,,,,47,,47
07/07/20,,,,,,51,,51
07/06/20,,,,,,59,,59
07/05/20,,,,,,62,,62
07/04/20,,,,,,56,,56
07/03/20,,,,,,55,,55
07/02/20,,,,,,62,,62
07/01/20,,,,,,63,,63
06/30/20,,,,,,64,,64
06/29/20,,,,,,74,,74
06/28/20,,,,,,80,,80
06/27/20,,,,,,77,,77
06/26/20,,,,,,73,,73
06/25/20,,,,,,76,,76
06/24/20,,,,,,81,,81
06/23/20,,,,,,86,,86
06/22/20,,,,,,89,,89
06/21/20,,,,,,90,,90
06/20/20,,,,,,88,,88
06/19/20,,,,,,87,,87
06/18/20,,,,,,91,,91
06/17/20,,,,,,100,,100
06/16/20,,,,,,114,,114
06/15/20,,,,,,117,,117
06/14/20,,,,,,128,,128
06/13/20,,,,,,133,,133
06/12/20,,,,,,130,,130
06/11/20,,,,,,139,,139
06/10/20,,,,,,152,,152
06/09/20,,,,,,173,,173
06/08/20,,,,,,185,,185
06/07/20,,,,,,197,,197
06/06/20,,,,,,199,,199
06/05/20,,,,,,203,,203
06/04/20,,,,,,212,,212
06/03/20,,,,,,222,,222
06/02/20,,,,,,219,,219
06/01/20,,,,,,232,,232
05/31/20,,,,,,251,,251
05/30/20,,,,,,257,,257
05/29/20,,,,,,261,,261
05/28/20,,,,,,294,,294
05/27/20,,,,,,320,,320
05/26/20,,,,,,334,,334
05/25/20,,,,,,363,,363
05/24/20,,,,,,377,,377
05/23/20,,,,,,383,,383
05/22/20,,,,,,382,,382
05/21/20,,,,,,409,,409
05/20/20,,,,,,417,,417
05/19/20,,,,,,453,,453
05/18/20,,,,,,472,,472
05/17/20,,,,,,508,,508
05/16/20,,,,,,521,,521
05/15/20,,,,,,529,,529
05/14/20,,,,,,558,,558
05/13/20,,,,,,584,,584
05/12/20,,,,,,590,,590
05/11/20,,,,,,620,,620
05/10/20,,,,,,627,,627
05/09/20,,,,,,633,,633
05/08/20,,,,,,630,,630
05/07/20,,,,,,656,,656
05/06/20,,,,,,675,,675
05/05/20,,,,,,696,,696
05/04/20,,,,,,737,,737
05/03/20,,,,,,762,,762
05/02/20,,,,,,748,,748
05/01/20,,,,,,755,,755
04/30/20,,,,,,805,,805
04/29/20,,,,,,829,,829
04/28/20,,,,,,840,,840
04/27/20,,,,,,862,,862
04/26/20,,,,,,870,,870
04/25/20,,,,,,865,,865
04/24/20,,,,,,866,,866
04/23/20,,,,,,890,,890
04/22/20,,,,,,905,,905
04/21/20,,,,,,901,,901
04/20/20,,,,,,883,,883
04/19/20,,,,,,910,,910
04/18/20,,,,,,922,,922
04/17/20,,,,,,901,,901
04/16/20,,,,,,878,,878
04/15/20,,,,,,838,,838
04/14/20,,,,,,779,,779
04/13/20,,,,,,763,,763
04/12/20,,,,,,730,,730
04/11/20,,,,,,694,,694
04/10/20,,,,,,668,,668
04/09/20,,,,,,603,,603
04/08/20,,,,,,585,,585
04/07/20,,,,,,537,,537
04/06/20,,,,,,490,,490
04/05/20,,,,,,441,,441
04/04/20,,,,,,426,,426
04/03/20,,,,,,402,,402
04/02/20,,,,,,377,,377
04/01/20,,,,,,325,,325
03/31/20,,,,,,280,,280
03/30/20,,,,,,254,,254
03/29/20,,,,,,226,,226
03/28/20,,,,,,208,,208
03/27/20,,,,,,156,,156
03/26/20,,,,,,121,,121
03/25/20,,,,,,83,,83
03/24/20,,,,,,58,,58
03/23/20,,,,,,50,,50
03/22/20,,,,,,43,,43
03/21/20,,,,,,32,,32
03/20/20,,,,,,24,,24
03/19/20,,,,,,14,,14
03/18/20,,,,,,11,,11
03/17/20,,,,,,12,,12
03/16/20,,,,,,9,,9
03/15/20,,,,,,7,,7
03/14/20,,,,,,6,,6
03/13/20,,,,,,4,,4
03/12/20,,,,,,1,,1
03/11/20,,,,,,1,,1
03/10/20,,,,,,1,,1
