Town,date,population,cum.covid.cases,cum.fullvax.indiv,SVI_SES,age65up.pct,SVI_overall,blacklatinx.pct,VIRratio,vaccine_prev,cumulative_incidence
Barnstable,2021-04-15,44772.52044782965,3989,14989,0.3941237899801868,0.2642204673675252,0.3018825298966884,0.10010286889930278,3.757583354224116,33.47812419331106,8.90948278118072
Barre,2021-04-15,5560.128820098063,303,1344,0.5147,0.17261371955660443,0.4612,0.03682975266293555,4.435643564356436,24.17210182508498,5.449514027530319
Becket,2021-04-15,2240.545590058507,67,545,0.5072,0.24156061107173366,0.2533,0.07119067443796837,8.134328358208956,24.324432514036392,2.990343079707226
Bedford,2021-04-15,14994.70008928878,825,3967,0.20637953305033355,0.20529941196637383,0.3928912431776834,0.08216457738612387,4.808484848484848,26.456014300904634,5.501943987458111
Belchertown,2021-04-15,16054.358189729372,835,4264,0.3436973742232912,0.17354758572368117,0.29143101489944545,0.01957640141644952,5.106586826347306,26.559766199360464,5.2010799194338615
Bellingham,2021-04-15,18017.12466207391,1117,3585,0.34498302773859896,0.14852058318576797,0.14919670897978374,0.042548189938881056,3.209489704565801,19.89773655474801,6.199657386793175
Belmont,2021-04-15,27408.59169370931,1093,7663,0.21595174903044964,0.1707759635168723,0.29743628230234614,0.06457188952483386,7.010978956999085,27.95838650024027,3.9878006583273673
Berkley,2021-04-15,6815.0684702353265,670,1512,0.11169999999999998,0.14148359147591236,0.0851,0.0016469531366971103,2.256716417910448,22.18613072786619,9.831155811951287
Berlin,2021-04-15,3227.210500774567,187,901,0.1953,0.2553224525588141,0.1908,0.012404580152671756,4.818181818181818,27.91884817503382,5.794477923120226
Bernardston,2021-04-15,2072.544992658636,49,832,0.4126,0.24744371356333175,0.5024,0.0016012810248198558,16.979591836734695,40.143881215949875,2.36424300430474
Beverly,2021-04-15,41070.9163256869,3450,12726,0.37422065131437066,0.18079716622327127,0.36422173204572145,0.061608875895617164,3.6886956521739127,30.985429930719135,8.400104766696607
Billerica,2021-04-15,43672.59785608792,3672,10717,0.36084046245043777,0.1583527935374717,0.32413292636647956,0.07278151668632485,2.9185729847494555,24.539414933169724,8.40801825460476
Blackstone,2021-04-15,9025.967201213967,597,1710,0.44769842093878437,0.15071984467044242,0.26102749296993294,0.04650659744754489,2.864321608040201,18.945338066041387,6.614249605512694
Blandford,2021-04-15,1208.9750880147321,54,290,0.5284,0.22226583092429658,0.3157,0.01670843776106934,5.370370370370371,23.987260190465246,4.466593276845252
Bolton,2021-04-15,5055.242996688051,209,1506,0.0178,0.14991667710321233,0.011,0.021772345301757066,7.205741626794257,29.79085280344897,4.13432153779604
Bourne,2021-04-15,21025.530283323522,1196,7058,0.3397455951438903,0.24221966813852733,0.32920538899962937,0.05141013048968711,5.90133779264214,33.56871339220433,5.6883226433942164
Boxborough,2021-04-15,5073.115215442103,192,1388,0.3345,0.1512536343563481,0.2485,0.0443562305833621,7.229166666666667,27.35991478717167,3.7846568005309518
Boxford,2021-04-15,7640.484321852841,517,2484,0.0973,0.19862791288455167,0.0199,0.011487303506650543,4.804642166344294,32.51102803647429,6.766586753163128
Boylston,2021-04-15,4489.388872138246,294,1539,0.1453,0.17984153473619527,0.1084,0.021829294913774284,5.23469387755102,34.280835183408634,6.54877553211315
